name,value,area,age,distance,bath_toilet_separated,autolock
ＪＲ中央線 阿佐ヶ谷駅 2階建 築34年,4.8,13.16,34,20,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築34年,4.8,13.16,34,21,0,0
シャトレ中杉,4.8,13.16,34,20,0,0
ＪＲ中央線 阿佐ヶ谷駅 3階建 築30年,4.7,12.25,30,12,1,0
ＡＳＵＫＡII－Ａ 103号室,4.7,12.25,30,12,0,0
トノブール西荻,6,17,35,24,1,0
トノブール西荻,6,17,35,24,1,0
ＪＲ中央線 西荻窪駅 10階建 築32年,6.5,21.42,32,22,0,1
カーサ高井戸 202号室,5,17.16,35,24,0,0
ライフピアアロー 103号室,4.2,12,35,7,0,0
ライフピアアロー,4.2,12,35,7,0,0
富士越コーポ荻窪A,4.2,13,33,13,0,0
梅村ハイツ,5.2,17.01,36,21,0,0
梅村ハイツ 103号室,5.2,17.01,36,21,0,0
東京メトロ丸ノ内線 南阿佐ヶ谷駅 3階建 築36年,5.5,13,36,18,0,0
セントヒルズ久我山 106号室,4.8,14.16,35,25,0,0
ＪＲ総武線 阿佐ヶ谷駅 3階建 築30年,5.5,12.25,30,13,0,0
ＪＲ中央線 阿佐ヶ谷駅 4階建 築35年,5.9,16.12,35,13,0,0
サンハイム浅見,6,15,35,21,0,0
ＪＲ中央線 西荻窪駅 2階建 築35年,6,20.5,35,23,1,0
ＪＲ中央線 西荻窪駅 2階建 築35年,6,20.5,35,23,1,0
アパートメント梨花 10号室,3.9,16.5,34,20,0,0
ＪＲ中央線 西荻窪駅 7階建 築28年,4.8,15,28,23,0,0
ＪＲ中央線 西荻窪駅 7階建 築28年,4.8,15,28,23,0,0
ＪＲ中央線 西荻窪駅 7階建 築28年,4.8,15,28,23,0,0
ＪＲ中央線 阿佐ヶ谷駅 3階建 築31年,5.3,14,31,12,0,1
エミネンスCA 302号室,5.9,22.94,33,20,0,0
フジハイツ阿佐ヶ谷 B203号室,5.2,14,31,18,0,0
フジハイツ阿佐ヶ谷 B203号室,5.2,14,31,18,0,0
ＪＲ中央線 西荻窪駅 4階建 築37年,4.9,15.27,37,25,0,0
フラット井荻 202号室,6.3,19.33,35,6,1,0
京王井の頭線 高井戸駅 2階建 築31年,4.9,17.97,31,25,0,0
ＪＲ中央線 西荻窪駅 5階建 築36年,4.9,14.3,36,22,0,0
ＴＯＰ・西荻,4.9,14.3,36,22,0,0
ＴＯＰ・西荻,4.9,14.3,36,22,0,0
トップ西荻 212号室,4.9,14.3,36,23,0,0
京王井の頭線 高井戸駅 2階建 築31年,4.8,16.73,31,25,0,0
アトリエ,5.4,15.9,29,28,0,0
メゾンユー,5.4,12,29,9,0,0
ベルハイム西荻窪 305号室,6.8,23.86,37,27,0,1
ラ・ガーデニア,4.9,14.9,41,19,0,0
ラ・ガーデニア（旧くちなし荘）,4.9,14.9,41,17,0,0
ラ・ガーデニア 204号室,4.9,14.9,41,18,0,0
ラ・ガーデニア 204号室,4.9,14.9,41,19,0,0
ＪＲ中央線 西荻窪駅 2階建 築41年,4.9,14.9,41,17,0,0
ラ・ガーデニア,4.9,14.9,41,19,0,0
ＪＲ中央線 西荻窪駅 2階建 築41年,4.9,14.9,41,20,0,0
ラ・ガーデニア,4.8,14.9,41,19,0,0
メゾン・ド・パラレール 504号室,4.9,16,35,28,0,0
メゾン・ド・パラレール 504号室,4.9,16,35,28,0,0
メゾン・ド・パラレール 504号室,4.9,16,35,28,0,0
メゾン・ド・パラレール 504号室,4.9,16,35,28,0,0
メゾン・ド・パラレール 504号室,4.9,16,35,28,0,0
メゾン・ド・パラレール 504号室,4.9,16,35,28,0,0
メゾン・ド・パラレール 504号室,4.9,16,35,28,0,0
メゾン・ド・パラレール,4.9,16,35,28,0,0
メゾン・ド・パラレール 504号室,4.9,16,35,28,0,0
メゾン・ド・パラレール,4.9,16,35,28,0,0
東京メトロ丸ノ内線 南阿佐ヶ谷駅 2階建 築28年,4.9,11.5,28,16,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築31年,4.6,13,31,4,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築31年,4.6,13,31,4,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築31年,4.6,13,31,20,0,0
ミントハウス阿佐ヶ谷,4.6,13,31,20,0,0
ミントハウス阿佐ヶ谷,4.6,13,31,12,0,0
ミントハウス阿佐ヶ谷 202号室,4.6,13,31,18,0,0
プラザ忠月,5.7,14.17,38,20,0,0
マ・メゾン西荻窪,6.1,16.64,28,27,0,0
マ・メゾン西荻窪,6.1,16.64,28,27,0,0
メゾン・ド・スィエール 205号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 205号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 205号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 205号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 205号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 205号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
メゾン・ド・スィエール 202号室,4.9,15.27,37,20,0,0
ラ・ガーデニア,4.6,14.9,41,19,0,0
メインステージ井荻駅前 305号室,4.2,16.5,32,30,0,1
ライフピアアロー,4.2,14.9,34,23,0,0
ａｎｎｅｘ,6,16.66,28,18,0,0
西武新宿線 井荻駅 4階建 築35年,6.3,19.33,35,10,1,0
プラザ忠月,5.5,14.17,38,21,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築38年,5.5,14.17,38,20,0,0
プラザ忠月 102号室,5.5,14.17,38,20,0,0
ＪＲ中央線 西荻窪駅 2階建 築31年,4.3,16.52,31,24,0,0
サンハイツ西荻,4.3,16.52,31,24,0,0
ＪＲ中央線 阿佐ヶ谷駅 4階建 築37年,4.6,13.68,37,17,0,0
ＪＲ中央線 阿佐ヶ谷駅 4階建 築37年,4.6,13.68,37,16,0,0
メゾン・ド・リヨン 106号室,4.6,13.68,37,13,0,0
メゾン・ド・リヨン 106号室,4.6,13.68,37,13,0,0
メゾン・ド・リヨン 106号室,4.6,13.68,37,13,0,0
メゾン・ド・リヨン 106号室,4.6,13.68,37,13,0,0
メゾン・ド・リヨン 106号室,4.6,13.68,37,13,0,0
西武新宿線 井荻駅 2階建 築44年,5.3,23.14,44,8,1,0
スカイハウス,4.5,12.39,37,14,0,0
スカイハウス,4.5,12.39,37,14,0,0
西武新宿線 井荻駅 4階建 築32年,4.2,16.5,32,5,0,1
エステート荻窪 202号室,4.6,11,33,12,0,0
エステート荻窪 202号室,4.6,11,33,12,0,0
エステート荻窪 202号室,4.6,11,33,12,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築33年,4.6,11,33,12,0,0
エステート荻窪 202号室,4.6,11,33,12,0,0
第二コーポ石原 206号室,6,16,26,15,0,1
第二コーポ石原 206号室,6,16,26,15,0,1
第二コーポ石原 206号室,6,16,26,15,0,1
ＪＲ中央線 阿佐ヶ谷駅 2階建 築26年,6,16,26,15,0,1
第二コーポ石原 206号室,6,16,26,15,0,1
第二コーポ石原 206号室,6,16,26,15,0,1
第二コーポ石原 205号室,5.9,16,26,15,0,1
第二コーポ石原 205号室,5.9,16,26,15,0,1
第二コーポ石原 205号室,5.9,16,26,15,0,1
第二コーポ石原 205号室,5.9,16,26,15,0,1
ＪＲ中央線 阿佐ヶ谷駅 2階建 築26年,5.9,16,26,15,0,1
第2コーポ石原 205号室,5.9,16,26,15,0,1
ＪＲ中央線 阿佐ヶ谷駅 4階建 築37年,4.6,13.68,37,13,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築32年,5.3,16.51,32,13,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築32年,5.3,14,32,13,0,0
ユアパレス天沼 105号室,5.3,14,32,14,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ユアパレス天沼,5.3,14,32,13,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築32年,5.3,14,32,13,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ユアパレス天沼,5.3,14,32,13,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ユアパレス天沼,5.3,14,32,13,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ユアパレス天沼,5.3,14,32,13,0,0
ユアパレス天沼 105号室,5.3,14,32,14,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ユアパレス天沼 105号室,5.3,14,32,15,0,0
ハイムひまわり,7,19,22,20,1,0
ライフピアアイテム 205号室,4.9,11.1,31,16,0,0
ライフピアアイテム 205号室,4.9,11.1,31,16,0,0
小野荘,3.5,11.18,42,14,0,0
井荻パークハイツ 301号室,3.6,9.45,35,34,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築33年,5.3,14,33,13,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築33年,5.3,14,33,13,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築33年,5.3,14,33,13,0,0
ＪＲ中央線 阿佐ヶ谷駅 3階建 築31年,7,25,31,20,0,1
ＪＲ中央線 阿佐ヶ谷駅 3階建 築31年,7,25,31,20,0,1
ＪＲ中央線 阿佐ヶ谷駅 3階建 築35年,7,25,35,20,1,0
ＪＲ中央線 阿佐ヶ谷駅 3階建 築35年,7,25,35,20,1,0
エステート西荻 706号室,4.8,12.9,35,26,0,0
エステート西荻 603号室,4.8,12.88,35,26,0,0
キャピタルハイツ　　B100,5.9,21,25,17,1,0
西武新宿線 下井草駅 3階建 築45年,5.9,20,45,19,1,0
ライフピアテイスト,4.5,11,30,20,0,0
ライフピアテイスト,4.5,11,30,20,0,0
ライフピアテイスト,4.5,11,30,20,0,0
プラティーク荻窪 208号室,6.3,16.17,32,10,0,1
ＪＲ中央線 阿佐ヶ谷駅 3階建 築32年,6.3,16.17,32,10,0,1
ＪＲ中央線 西荻窪駅 2階建 築34年,4,15,34,20,1,0
サンホワイト西荻,4,15,34,19,0,0
ＪＲ中央線 西荻窪駅 2階建 築34年,4,15,34,18,1,0
ＪＲ中央線 西荻窪駅 2階建 築34年,4,15,34,18,1,0
アリスの家,4.8,17.01,29,25,0,0
ＪＲ総武線 阿佐ヶ谷駅 2階建 築40年,4.5,16,40,20,0,0
ＪＲ中央線 阿佐ヶ谷駅 3階建 築40年,7,25,40,20,1,0
ＪＲ総武線 阿佐ヶ谷駅 3階建 築40年,7,25,40,20,1,0
ＪＲ中央線 阿佐ヶ谷駅 3階建 築40年,7,25,40,20,1,0
ブルーバード荘,2.8,13,43,10,0,0
クレッセンドハイツ,4.3,12.9,37,25,0,0
東京メトロ丸ノ内線 南阿佐ヶ谷駅 2階建 築51年,4.8,13,51,16,0,0
アパートメント梨花 1号室,3.9,16.5,49,20,0,0
アパートメント梨花 10号室,3.9,16.5,49,20,0,0
アパートメント梨花 10号室,3.9,16.5,49,20,0,0
アパートメント梨花 1号室,3.9,16.5,49,20,0,0
アパートメント梨花 1号室,3.9,16.5,49,20,0,0
アパートメント梨花 10号室,3.9,16.5,49,20,0,0
アパートメント梨花 10号室,3.9,16.5,49,20,0,0
アパートメント梨花 1号室,3.9,16.5,49,20,0,0
アパートメント梨花 1号室,3.9,16.5,49,20,0,0
ユーコート桃井 406号室,5.3,16.2,35,6,0,0
ユーコート桃井 403号室,5.2,16.2,35,6,0,0
第１コーポ石原,5.4,16.08,32,18,0,0
第一コ－ポ石原,5.4,12.7,32,18,0,0
ＪＲ中央線 阿佐ヶ谷駅 2階建 築29年,5.2,18,29,16,0,0
ハイツ井草野,5,20.89,40,23,1,0
ハイツ井草野,5,20.89,40,23,1,0
安藤荘 5号室,2.5,12,48,11,0,0
ＲＯＹＡＬ　ＨＥＩＧＨＴＳ　ＫＡＷＡＭＯＴＯ（ロイヤルハイツカワモト）,4.6,16.22,32,8,0,0
ＲＯＹＡＬ　ＨＥＩＧＨＴＳ　ＫＡＷＡＭＯＴＯ（ロイヤルハイツカワモト）,4.5,16.22,32,8,0,0
上荻マンション,4.6,14.5,48,24,0,0
上荻マンション,4.6,14.5,48,24,0,0
鈴木ビル B号室,8,26.33,43,19,1,0
図南荘,3.4,14,53,20,0,0
西武新宿線 井荻駅 3階建 築43年,8,26.33,43,18,1,0
ＪＲ総武線 西荻窪駅 2階建 築27年,4.7,19.11,27,25,0,0
フジビュービレッジ阿佐ヶ谷,6.3,16.7,34,22,0,1
フジビュービレッジ阿佐ヶ谷 304号室,6.2,17.76,34,22,0,1
フジビュービレッジ阿佐ヶ谷 503号室,6.2,16.24,34,22,0,1
